date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,humidity_pct,wind_speed_max_kmh
2026-06-26,32.6,18.0,25.5,0.0,38,21.4
2026-06-27,29.1,17.1,23.1,0.0,49,20.9
2026-06-28,29.5,14.8,22.5,0.0,35,23.2
2026-06-29,31.9,16.1,24.8,0.0,27,13.6
2026-06-30,33.2,17.2,25.8,0.0,28,15.8
2026-07-01,32.9,18.1,25.7,0.0,31,12.4
2026-07-02,32.4,16.6,24.8,0.0,34,9.3
2026-07-03,34.7,19.2,27.1,0.0,31,9.6
2026-07-04,36.5,20.3,28.8,0.0,27,11.3
2026-07-05,35.7,22.6,28.8,1.3,33,14.3
2026-07-06,36.3,20.2,28.1,0.0,35,14.0
2026-07-07,35.3,18.8,26.9,0.0,37,15.7
2026-07-08,34.6,16.4,25.6,0.0,39,14.8
2026-07-09,36.8,19.4,28.2,0.0,30,9.7
2026-07-10,39.6,20.0,30.3,0.0,27,15.4
2026-07-11,39.3,20.7,29.9,0.0,26,11.2
2026-07-12,36.4,24.5,30.2,1.5,25,15.7
2026-07-13,37.5,23.2,29.9,1.5,44,12.5
2026-07-14,39.5,24.3,32.1,0.0,37,13.9
2026-07-15,40.9,23.6,32.2,0.0,32,19.0
2026-07-16,38.8,22.2,30.1,0.0,28,16.5
2026-07-17,38.2,20.3,29.3,0.0,26,12.9
2026-07-18,37.1,21.6,29.3,0.0,28,13.0
2026-07-19,38.2,22.9,30.3,0.0,26,12.1
2026-07-20,38.6,23.7,31.3,1.0,26,18.7
2026-07-21,36.9,23.4,30.4,0.3,31,11.3
2026-07-22,36.2,23.8,30.0,0.0,39,20.7
2026-07-23,36.3,18.9,27.5,0.0,40,15.2
2026-07-24,38.6,20.6,29.7,0.0,31,13.5
2026-07-25,38.4,21.5,29.9,0.0,25,14.8
2026-07-26,38.3,21.7,30.1,0.0,22,16.1
